Tweet,Target,Stance
Who said it was Protestants ? Probably students. As I am an atheist I am looking at things objectively,Atheism,FAVOR
"Atheism is not a stronghold on empathy, ethics or anything else. Too frequently, atheists simply project on to others.",Atheism,FAVOR
"I am an atheist. There is no doctrine saying I have to do ""x"" I the name of atheism. It's just a declaration of not doing something.",Atheism,FAVOR
Or maybe I just don't want the people I hold dearest to be hospitalized.,Atheism,NONE
Rather be stuck at home then have one of my parents or grandparents die. Just saying!,Atheism,NONE
Californians need electricity to condition their homes against severe heat. Electricity is best generated from fossil fuels and nuclear,Climate Change is a Real Concern,AGAINST
Who cares? I'll die of a treatable condition within 5-10 years or a climate change thing or get shot in the head with teargas canisters at a protest the fuck should I care at this point?,Climate Change is a Real Concern,AGAINST
The climate gives a fuck about it's condition. Climate survived dinosaurs and will survive all other creatures to come.,Climate Change is a Real Concern,AGAINST
"What was your name again? Climate, right. Come here often? Listen, I'm about to air condition the fuck out of you.",Climate Change is a Real Concern,AGAINST
"Unrealistic #emission targets will not reduce pollution, but might do the opposite. The danger is that jobs will leave #Europe and we will lose our competitiveness. #ClimateLaw",Climate Change is a Real Concern,FAVOR
California is blazing a trail to combat #climatechange. The state has pledged to ban new gas-powered vehicles by 2035. Will other states follow? @Forbes #cdwsocial,Climate Change is a Real Concern,FAVOR
"If the #climate signals are so compelling, how come lots of people still don't even want to #consider the possibility that #climateChange is a threat to our society? Is it all about ""again""?
#ideology #worldView",Climate Change is a Real Concern,FAVOR
Every day our situation becomes much worst. But we don't care. Because it's not in our nature to care about problems that one step at a time changing the world. #ClimateChange and #capitalism,Climate Change is a Real Concern,FAVOR
"I'd say politics in general, people think politics is a personality trait today.",Climate Change is a Real Concern,NONE
Nothing has divided America more than liberal politics.,Climate Change is a Real Concern,NONE
I hope she's proud by saying this and seeing no ones gives a fuck. Also nice #Feminism lmao,Feminist Movement,AGAINST
All these woke bitches are gonna live off alimony. So shut the fuck up. #feminism,Feminist Movement,AGAINST
Fuck women. Giving women the right to vote was a huge mistake and we need to get rid of it. #Feminism #feministvoices #WomenAgainstTrump,Feminist Movement,AGAINST
The fake feminists “ Subtle art of not giving a Fuck” and get offended over a post on social media. #ktweeter #feminism #feminism #fuckfakefeminism #fakefeminism,Feminist Movement,AGAINST
"Women have led #Resisters for hundreds of years,one such was the Queen of Jhansi who led the Rebellion of 1857. She fought valiantly to the death #shero #Resistance #feminist #HERstory",Feminist Movement,FAVOR
"Feminists don't use the term ""I'm a woman"" they fight against the term ""you are a woman"" to achieve equality. #feminism #feminist",Feminist Movement,FAVOR
I don't like categorizing myself but with all this discrimination against women I should to be a feminist,Feminist Movement,FAVOR
Proud that my eldest daughter is an unapologetic #feminist. I pledge to do more as a man against abuse of women. Here's to ending gender based violence. #ipledge to help end #endgbv,Feminist Movement,FAVOR
You wait until we're once again bumping into each other in random pubs in different cities and you'll change your tune again,Feminist Movement,NONE
If you don't do weird things on that day. And just do what the prophet and first three generations did. That's enough.,Feminist Movement,NONE
